YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2022,SBIN,STATE Bank of India,289973,-63570,197349,,117000,156194,3691,49739,,37183,39.64,,,
01-03-2023,SBIN,STATE Bank of India,350845,-43439,204303,,122534,189981,3696,75399,,57750,62.35,,,
01-03-2024,SBIN,STATE Bank of India,439189,-60297,239750,,155386,259736,3849,91240,,69543,75.17,,,
01-03-2025,SBIN,STATE Bank of India,490938,-62049,252043,,172406,300943,3991,106365,,80523,86.91,,,
01-03-2026,SBIN,STATE Bank of India,511356,-84922,282999,,199771,313278,0,114849,,86537,91.71,,,
01-03-2014,SHAKTIPUMP,Shakti Pumps,292,249,43,15,10,13,7,34,25,25,2.73,10,-1,-33
01-03-2015,SHAKTIPUMP,Shakti Pumps,297,249,47,16,11,13,10,36,26,26,2.61,13,-1,-33
01-03-2016,SHAKTIPUMP,Shakti Pumps,264,244,20,8,9,14,12,3,58,1,0.11,0,1,13
01-03-2017,SHAKTIPUMP,Shakti Pumps,428,368,60,14,2,17,13,33,35,22,1.96,0,2,37
01-03-2018,SHAKTIPUMP,Shakti Pumps,435,356,78,18,3,14,14,54,35,35,3.16,20,6,8
01-03-2019,SHAKTIPUMP,Shakti Pumps,544,454,89,16,4,18,15,60,25,45,4.09,20,-5,-48
01-03-2020,SHAKTIPUMP,Shakti Pumps,383,371,12,3,4,21,17,-22,-35,-14,-1.28,0,1,32
01-03-2021,SHAKTIPUMP,Shakti Pumps,930,788,142,15,4,16,18,111,32,76,6.85,19,15,129
01-03-2022,SHAKTIPUMP,Shakti Pumps,1179,1068,110,9,6,16,19,82,21,65,5.88,6,10,0
01-03-2023,SHAKTIPUMP,Shakti Pumps,968,901,67,7,3,19,18,32,25,24,2.19,15,-20,19
01-03-2024,SHAKTIPUMP,Shakti Pumps,1371,1146,225,16,4,19,19,190,25,142,11.79,6,180,-10
01-03-2025,SHAKTIPUMP,Shakti Pumps,2516,1913,603,24,17,44,20,556,27,408,33.97,3,-134,-85
01-03-2026,SHAKTIPUMP,Shakti Pumps,2698,2276,422,16,24,59,28,359,28,258,20.87,5,382,-53
01-03-2022,SHREEJISPG,Shreeji Shipping,572,141,431,,1,15,12,114,,83,,,,
01-03-2023,SHREEJISPG,Shreeji Shipping,827,189,638,,4,16,17,159,,119,,,,
01-03-2024,SHREEJISPG,Shreeji Shipping,731,193,538,,5,11,20,167,,125,,,,
01-03-2025,SHREEJISPG,Shreeji Shipping,608,199,408,,25,14,22,189,,141,9.63,,,
01-03-2026,SHREEJISPG,Shreeji Shipping,677,245,433,,15,19,23,217,,162,10.51,,,
01-03-2014,SUZLON,Suzlon Energy Ltd,20403,20465,-62,,-495,2070,777,-3404,,-3548,-11.43,,,
01-03-2015,SUZLON,Suzlon Energy Ltd,19954,25703,-5749,,-194,2065,809,-8816,,-9133,-19.95,,,
01-03-2016,SUZLON,Suzlon Energy Ltd,9483,9767,-283,,2563,1304,392,584,,583,0.94,,,
01-03-2017,SUZLON,Suzlon Energy Ltd,12714,10235,2479,,109,1288,389,912,,852,1.38,,,
01-03-2018,SUZLON,Suzlon Energy Ltd,8116,7140,977,,555,1581,342,-391,,-384,-0.57,,,
01-03-2019,SUZLON,Suzlon Energy Ltd,5025,5048,-23,,92,1270,342,-1543,,-1537,-2.32,,,
01-03-2020,SUZLON,Suzlon Energy Ltd,2973,3829,-856,,-42,1367,419,-2684,,-2692,-4.01,,,
01-03-2021,SUZLON,Suzlon Energy Ltd,3346,2809,537,,823,996,258,105,,104,0.1,,,
01-03-2022,SUZLON,Suzlon Energy Ltd,6582,5682,900,,95,735,260,0,,-177,-0.17,,,
01-03-2023,SUZLON,Suzlon Energy Ltd,5971,5137,833,,2739,421,260,2892,,2887,2.28,,,
01-03-2024,SUZLON,Suzlon Energy Ltd,6529,5492,1037,,-24,164,190,659,,660,0.49,,,
01-03-2025,SUZLON,Suzlon Energy Ltd,10890,9026,1863,,97,255,259,1447,,2072,1.53,,,
01-03-2026,SUZLON,Suzlon Energy Ltd,15029,12277,2752,,118,412,318,2140,,3230,2.38,,,
01-03-2015,TCS,Tata Consultancy,94648,70167,24482,,3720,104,1799,26298,,20060,50.68,,,
01-03-2016,TCS,Tata Consultancy,108646,77969,30677,,3084,33,1888,31840,,24338,61.58,,,
01-03-2017,TCS,Tata Consultancy,117966,85655,32311,,4221,32,1987,34513,,26357,66.71,,,
01-03-2018,TCS,Tata Consultancy,123104,90588,32516,,3642,52,2014,34092,,25880,67.46,,,
01-03-2019,TCS,Tata Consultancy,146463,106957,39506,,4311,198,2056,41563,,31562,83.87,,,
01-03-2020,TCS,Tata Consultancy,156949,114840,42109,,4592,924,3529,42248,,32447,86.19,,,
01-03-2021,TCS,Tata Consultancy,164177,117631,46546,,1916,637,4065,43760,,32562,87.67,,,
01-03-2022,TCS,Tata Consultancy,191754,138697,53057,,4018,784,4604,51687,,38449,104.75,,,
01-03-2023,TCS,Tata Consultancy,225458,166199,59259,,3449,779,5022,56907,,42303,115.19,,,
01-03-2024,TCS,Tata Consultancy,240893,176597,64296,,3464,778,4985,61997,,46099,126.88,,,
01-03-2025,TCS,Tata Consultancy,255324,187917,67407,,3962,796,5242,65331,,48797,134.2,,,
01-03-2026,TCS,Tata Consultancy,267021,194623,72398,,-124,1227,5560,65487,,49454,136.01,,,
01-03-2014,UBL,United Breweries Ltd,4230,3632,597,,15,80,198,335,,226,8.55,,,
01-03-2015,UBL,United Breweries Ltd,4688,4066,622,,37,73,208,379,,260,9.83,,,
01-03-2016,UBL,United Breweries Ltd,4833,4136,697,,82,81,244,455,,299,11.28,,,
01-03-2017,UBL,United Breweries Ltd,4729,4087,642,,52,59,287,348,,230,8.68,,,
01-03-2018,UBL,United Breweries Ltd,5619,4716,903,,13,48,260,608,,395,14.91,,,
01-03-2019,UBL,United Breweries Ltd,6475,5337,1138,,32,31,260,879,,563,21.29,,,
01-03-2020,UBL,United Breweries Ltd,6509,5633,876,,9,31,285,569,,428,16.18,,,
01-03-2021,UBL,United Breweries Ltd,4243,3862,381,,43,23,232,169,,114,4.28,,,
01-03-2022,UBL,United Breweries Ltd,5838,5142,697,,30,15,217,494,,366,13.82,,,
01-03-2023,UBL,United Breweries Ltd,7500,6884,616,,16,5,211,417,,305,11.5,,,
01-03-2024,UBL,United Breweries Ltd,8123,7426,696,,74,7,212,551,,411,15.51,,,
01-03-2025,UBL,United Breweries Ltd,8915,8074,841,,10,13,233,605,,442,16.71,,,
01-03-2026,UBL,United Breweries Ltd,9313,8460,853,,26,49,253,578,,409,15.46,,,
01-03-2024,UNIECOM,Unicommerce eSolutions,104,89,14,,6,0,2,17,,13,2.23,,,
01-03-2025,UNIECOM,Unicommerce eSolutions,135,108,27,,5,1,7,24,,18,1.71,,,
01-03-2026,UNIECOM,Unicommerce eSolutions,204,169,35,,4,1,10,29,,20,1.82,,,
01-03-2014,UNITDSPR,United Spirits,10508,13876,-3368,,681,1323,203,-4213,,-4489,-61.78,,,
01-03-2015,UNITDSPR,United Spirits,9254,9619,-366,,-360,687,223,-1635,,-1687,-23.23,,,
01-03-2016,UNITDSPR,United Spirits,8495,8162,333,,648,457,157,366,,143,1.9,,,
01-03-2017,UNITDSPR,United Spirits,8818,7826,991,,-265,375,189,163,,93,1.38,,,
01-03-2018,UNITDSPR,United Spirits,8591,7381,1209,,172,278,192,912,,652,8.72,,,
